"Audiobook Title","Audiobook URL","Audiobook Image","Author","Narrated By","Categories","Performance Rating (Max 5)","Story Rating (Max 5)","Highly rated for"
"Three Men in a Boat (To Say Nothing of the Dog)","https://www.audible.com/pd/Three-Men-in-a-Boat-To-Say-Nothing-of-the-Dog-Audiobook/B004P95AYI?ref_pageloadid=ijRuxg4KTq8ReFa6&pf_rd_p=95b555b2-2931-4812-98e1-6535e764d43f&pf_rd_r=MRVR918HRVGKWEC5RZYW&plink=XoZV9xKkWhsJopVi&pageLoadId=p44xZRxRNSWUyR2w&creativeId=b5fa8602-fb94-432a-aacc-e3734bed4f97&ref=a_library_w_c5_prod_1","https://m.media-amazon.com/images/I/61qPuJmuPSL._SL500_.jpg","Jerome K. Jerome","Steven Crossley","Fiction,Feel-Good,Exciting,Heartfelt,Suspenseful","4.6","4.3","Humorous Storytelling • Witty Observations • Engaging Narration • Memorable Anecdotes • Lyrical Descriptions"
"The Princess Bride","https://www.audible.com/pd/The-Princess-Bride-Audiobook/B09NLG87J7?ref_pageloadid=ijRuxg4KTq8ReFa6&pf_rd_p=95b555b2-2931-4812-98e1-6535e764d43f&pf_rd_r=MRVR918HRVGKWEC5RZYW&plink=XoZV9xKkWhsJopVi&pageLoadId=p44xZRxRNSWUyR2w&creativeId=b5fa8602-fb94-432a-aacc-e3734bed4f97&ref=a_library_w_c5_prod_2","https://m.media-amazon.com/images/I/41RnPe7Oi1L._SL500_.jpg","William Goldman","Rob Reiner","Action & Adventure,Fantasy,Fiction","4.5","4.6","Classic Adventure, Timeless Romance, Excellent Narration, Masterful Storytelling, Nostalgic Comfort, Clear Voice"
"Is Everyone Hanging Out Without Me? (And Other Concerns)","https://www.audible.com/pd/Is-Everyone-Hanging-Out-Without-Me-And-Other-Concerns-Audiobook/B005V2HRA8?ref_pageloadid=ijRuxg4KTq8ReFa6&pf_rd_p=95b555b2-2931-4812-98e1-6535e764d43f&pf_rd_r=MRVR918HRVGKWEC5RZYW&plink=XoZV9xKkWhsJopVi&pageLoadId=p44xZRxRNSWUyR2w&creativeId=b5fa8602-fb94-432a-aacc-e3734bed4f97&ref=a_library_w_c5_prod_3","https://m.media-amazon.com/images/I/61Ai3R+dwLL._SL500_.jpg","Mindy Kaling","Mindy Kaling, Michael Schur, B. J. Novak","Fiction,Exciting,Heartfelt,Suspenseful,Feel-Good,Teen & Young Adult","4.6","4.2","Conversational Storytelling, Relatable Personal Anecdotes, Authentic Narration, Authentic Career Journey"
"Anxious People","https://www.audible.com/pd/Anxious-People-Audiobook/1797105833?ref_pageloadid=ijRuxg4KTq8ReFa6&pf_rd_p=95b555b2-2931-4812-98e1-6535e764d43f&pf_rd_r=MRVR918HRVGKWEC5RZYW&plink=XoZV9xKkWhsJopVi&pageLoadId=p44xZRxRNSWUyR2w&creativeId=b5fa8602-fb94-432a-aacc-e3734bed4f97&ref=a_library_w_c5_prod_4","https://m.media-amazon.com/images/I/5136OwhxyYL._SL500_.jpg","Fredrik Backman","Marin Ireland","Fiction,Exciting,Heartfelt,Suspenseful,Feel-Good","4.7","4.6","Masterful Storytelling • Intricate Character Connections • Unexpected Plot Twists • Emotional Depth • Satisfying Conclusion"
"Flat Spin","https://www.audible.com/pd/Flat-Spin-Audiobook/B0CKTVF2HX?ref_pageloadid=ijRuxg4KTq8ReFa6&pf_rd_p=95b555b2-2931-4812-98e1-6535e764d43f&pf_rd_r=MRVR918HRVGKWEC5RZYW&plink=XoZV9xKkWhsJopVi&pageLoadId=p44xZRxRNSWUyR2w&creativeId=b5fa8602-fb94-432a-aacc-e3734bed4f97&ref=a_library_w_c5_prod_5","https://m.media-amazon.com/images/I/41T0IB1r+oL._SL500_.jpg","David Freed","Ray Porter","Mystery,Thriller & Suspense","4.6","4.2","Witty Dialogue, Unexpected Twists, Excellent Narration, Entertaining Humor, Unique Aviation Backdrop"
"We Solve Murders","https://www.audible.com/pd/We-Solve-Murders-Audiobook/B0CQMJZ75J?ref_pageloadid=ijRuxg4KTq8ReFa6&pf_rd_p=95b555b2-2931-4812-98e1-6535e764d43f&pf_rd_r=MRVR918HRVGKWEC5RZYW&plink=XoZV9xKkWhsJopVi&pageLoadId=p44xZRxRNSWUyR2w&creativeId=b5fa8602-fb94-432a-aacc-e3734bed4f97&ref=a_library_w_c5_prod_6","https://m.media-amazon.com/images/I/41Fc61xTUzL._SL500_.jpg","Richard Osman","Nicola Walker","Mystery,Crime,Exciting,Witty,Murder","4.8","4.6","Engaging Plot Twists, Witty Dialogue, Exceptional Narration, Clever Storytelling, Emotional Depth, Smooth Delivery"
"Every Time I Go on Vacation, Someone Dies","https://www.audible.com/pd/Every-Time-I-Go-on-Vacation-Someone-Dies-Audiobook/B0CKM1RBSN?ref_pageloadid=ijRuxg4KTq8ReFa6&pf_rd_p=95b555b2-2931-4812-98e1-6535e764d43f&pf_rd_r=MRVR918HRVGKWEC5RZYW&plink=XoZV9xKkWhsJopVi&pageLoadId=p44xZRxRNSWUyR2w&creativeId=b5fa8602-fb94-432a-aacc-e3734bed4f97&ref=a_library_w_c5_prod_7","https://m.media-amazon.com/images/I/51fuL2JjcZL._SL500_.jpg","Catherine Mack","Elizabeth Evans","Mystery,Thriller & Suspense,Fiction,Funny,Heartfelt,Witty","4.4","4","Engaging Fourth-wall Breaking • Entertaining Narrative Style • Clever Plot Twists • Fun Lighthearted Read • Fun Twist"
"A Good Girl's Guide to Murder","https://www.audible.com/pd/A-Good-Girls-Guide-to-Murder-Audiobook/0008505365?ref_pageloadid=ijRuxg4KTq8ReFa6&pf_rd_p=95b555b2-2931-4812-98e1-6535e764d43f&pf_rd_r=MRVR918HRVGKWEC5RZYW&plink=XoZV9xKkWhsJopVi&pageLoadId=p44xZRxRNSWUyR2w&creativeId=b5fa8602-fb94-432a-aacc-e3734bed4f97&ref=a_library_w_c5_prod_8","https://m.media-amazon.com/images/I/51PwabCt4AL._SL500_.jpg","Holly Jackson","Luke Poli, Kristin Atherton, Clare Corbett, Jot Davies, Maryam Grace, Olivia Forrest","Teen & Young Adult,Mystery, Thriller & Suspense,Fiction","4.6","4.4","perfect adaptation of the text, Captivating Thriller, twists and turns, side effects of phone calls and recordings, hooked from start to finish"
"Everyone in My Family Has Killed Someone","https://www.audible.com/pd/Everyone-in-My-Family-Has-Killed-Someone-Audiobook/B09YC44YHN?ref_pageloadid=ijRuxg4KTq8ReFa6&pf_rd_p=95b555b2-2931-4812-98e1-6535e764d43f&pf_rd_r=MRVR918HRVGKWEC5RZYW&plink=XoZV9xKkWhsJopVi&pageLoadId=p44xZRxRNSWUyR2w&creativeId=b5fa8602-fb94-432a-aacc-e3734bed4f97&ref=a_library_w_c5_prod_9","https://m.media-amazon.com/images/I/41jROoOBIML._SL500_.jpg","Benjamin Stevenson","Barton Welch","Mystery,Thriller & Suspense,Crime,Fiction,Dark Humor,Detective,Witty","4.6","4.3","Clever Plot Twists • Engaging Storytelling • Excellent Narration • Dark Humor • Surprising Ending • Perfect Voice Acting"
"Just for the Summer","https://www.audible.com/pd/Just-for-the-Summer-Audiobook/B0CPQBM68B?ref_pageloadid=ijRuxg4KTq8ReFa6&pf_rd_p=95b555b2-2931-4812-98e1-6535e764d43f&pf_rd_r=MRVR918HRVGKWEC5RZYW&plink=XoZV9xKkWhsJopVi&pageLoadId=p44xZRxRNSWUyR2w&creativeId=b5fa8602-fb94-432a-aacc-e3734bed4f97&ref=a_library_w_c5_prod_10","https://m.media-amazon.com/images/I/51Wr6X14NqL._SL500_.jpg","Abby Jimenez","Christine Lakin, Zachary Webber","Fiction,Exciting,Heartfelt,Suspenseful,Feel-Good,Contemporary Romantic Comedy,Romance","4.8","4.5","Emotional Depth, Authentic Storytelling, Perfect Narrators, Natural Chemistry, Beautiful Relationships"
